"MatchTime",FRA - France,Score,Lead,EGY - Egypt
0:00,12GERARD VGoalkeeper,,,88HENDAWY KGoalkeeper
0:35,,,,15MOHAMED AShot right 9m saved bottom centre
0:44,5REMILI NShot right 9m post,,,
1:39,,0 - 1,-1,91SANAD MGoal right wing middle right (5 OMAR Y)
1:49,22KARABATIC LGoal centre 6m middle left (5 REMILI N),1 - 1,0,
2:30,,1 - 2,-1,89SHEBIB MGoal centre 6m bottom right (39 ELDERAA Y)
2:40,10MEM DShot centre 9m post,,,
3:23,,1 - 3,-2,39ELDERAA YGoal left 6m top right
3:36,19ABALO LShot right wing missed,,,
3:45,,,,15MOHAMED AShot left 6m saved middle centre
3:51,21GUIGOU MTurnover (FB),,,5OMAR YSteal
4:17,22KARABATIC LWarning (yellow card),,,
6:19,,1 - 4,-3,89SHEBIB MGoal centre 6m middle left (5 OMAR Y)
6:19,10MEM DShot centre 9m saved top left,,,
7:03,,1 - 5,-4,15MOHAMED AGoal centre 9m top left
7:22,7LAGARDE R7m received,,,5OMAR Y7m caused
7:30,25DESCAT HGoal Penalty shot middle right (7 LAGARDE R),2 - 5,-3,
8:07,,,,91SANAD MShot right wing saved top right
8:19,19ABALO LGoal right wing bottom left (5 REMILI N),3 - 5,-2,
9:08,,,,31ELWAKIL OTechnical Fault
9:58,10MEM DGoal centre 9m top right,4 - 5,-1,
10:11,22KARABATIC L7m caused,,,39ELDERAA Y7m received
10:11,22KARABATIC L2-minutes suspension,,,
10:11,,4 - 6,-2,66ELAHMAR AGoal Penalty shot middle left (39 ELDERAA Y)
10:29,10MEM Dfor12GERARD V Empty goal,,,
10:55,23FABREGAS LShot centre 6m missed,,,
10:55,12GERARD Vfor19ABALO L Goalkeeper back,,,
11:06,23FABREGAS LWarning (yellow card),,,
11:22,,,,90MOHAMED Afor88HENDAWY K Empty goal
11:38,,4 - 7,-3,5OMAR YGoal right 6m top left
11:51,19ABALO Lfor12GERARD V Empty goal,,,
12:14,12GERARD Vfor22KARABATIC L Goalkeeper back,,,
12:17,,,,88HENDAWY Kfor66ELAHMAR A Goalkeeper back
12:17,13KARABATIC NGoal left 6m bottom right (5 REMILI N),5 - 7,-2,
12:53,22KARABATIC L7m caused,,,39ELDERAA Y7m received
13:07,,,,66ELAHMAR APenalty shot saved middle left
13:49,5REMILI NGoal centre 6m middle left (13 KARABATIC N),6 - 7,-1,
14:02,,,,39ELDERAA YShot right 6m saved middle right
14:41,5REMILI NGoal centre 9m bottom right,7 - 7,0,
15:19,,,,39ELDERAA YTechnical Fault
15:29,5REMILI NShot centre 9m saved top left,,,
15:46,13KARABATIC N7m caused,,,89SHEBIB M7m received
15:58,,,,91SANAD MPenalty shot saved middle right
17:02,10MEM DShot centre 9m saved top right,,,
17:16,,,,15MOHAMED ATechnical Fault
17:28,5REMILI N7m received,,,
17:43,25DESCAT HGoal Penalty shot top right (5 REMILI N),8 - 7,+1,
17:52,,,,90MOHAMED AWarning (yellow card)
"MatchTime",FRA - France,Score,Lead,EGY - Egypt
18:24,,8 - 8,0,90MOHAMED AGoal centre 9m top right
19:03,13KARABATIC NGoal centre 6m bottom left (10 MEM D),9 - 8,+1,
20:16,,9 - 9,0,90MOHAMED AGoal centre 9m top right
20:58,13KARABATIC NTurnover,,,24ELMASRY ISteal
21:03,,9 - 10,-1,66ELAHMAR AGoal fast break bottom right (24 ELMASRY I)
21:34,10MEM DGoal right 6m bottom left,10 - 10,0,
22:49,,,,90MOHAMED AShot right 9m post
23:10,10MEM DTechnical Fault,,,
23:29,,,,90MOHAMED AShot centre 6m saved middle right
23:44,,10 - 11,-1,66ELAHMAR AGoal right 6m bottom left
24:09,Team timeout,,,
24:34,5REMILI N7m received,,,24ELMASRY I7m caused
24:43,,,,96ELTAYAR Mfor88HENDAWY K Goalkeeper Substitution
24:46,25DESCAT HGoal Penalty shot top left (5 REMILI N),11 - 11,0,
24:56,,,,88HENDAWY Kfor96ELTAYAR M Goalkeeper Substitution
25:52,,11 - 12,-1,66ELAHMAR AGoal right 6m bottom left
26:22,7LAGARDE RTurnover,,,
26:33,,,,80MESILHY AShot centre 6m saved middle left
27:46,,,,90MOHAMED AShot centre 9m post
28:17,21GUIGOU MGoal left wing top centre (7 LAGARDE R),12 - 12,0,
28:58,23FABREGAS LSteal,,,5OMAR YTurnover
